区分,詳細区分,車体の形状,コード
乗用自動車,四輪,箱型,001
乗用自動車,四輪,幌型,002
乗用自動車,四輪,ステーションワゴン,003
乗用自動車,オートバイ,オートバイ,004
乗用自動車,オートバイ,側車付オートバイ,005
乗用自動車,三輪,三輪箱型,006
乗用自動車,三輪,三輪幌型,007
検査対象外軽自動車,,オートバイ（軽）,110
検査対象外軽自動車,,側車付オートバイ（軽）,111
検査対象外軽自動車,,救急車２輪（軽）,112
検査対象外軽自動車,,消防車２輪（軽）,114
検査対象外軽自動車,,警察車２輪（軽）,113
検査対象外軽自動車,,公共応急作業車２輪（軽）,115
検査対象外軽自動車,,雪上車（検査対象外）,116
検査対象外軽自動車,,トレーラ（検査対象外）,117
乗合自動車,,ボンネット,011
乗合自動車,,キャブオーバ,012
乗合自動車,,リヤーエンジン,013
乗合自動車,,アンダーフロア,014
貨物自動車,,ボンネット,011
貨物自動車,,キャブオーバ,012
貨物自動車,,バン,021
貨物自動車,,ダンプ,022
貨物自動車,,ピックアップ,023
貨物自動車,,三輪トラック,024
貨物自動車,,三輪ダンプ,025
貨物自動車,,三輪バン,026
貨物自動車,,トラクタ,027
貨物自動車,,三輪トラクタ,028
貨物自動車,,ボンネット（トラクタ）,029
貨物自動車,,キャブオーバ（トラクタ）,030
貨物自動車,,バン（トラクタ）,031
貨物自動車,,三輪トラック（トラクタ）,032
貨物自動車,,三輪バン（トラクタ）,033
貨物自動車,,セミトレーラ,034
貨物自動車,,フルトレーラ,035
貨物自動車,,ドリー付トレーラ,036
貨物自動車,,ドリー付バントレーラ,180
貨物自動車,,バンセミトレーラ,037
貨物自動車,,バンフルトレーラ,038
貨物自動車,,ダンプセミトレーラ,039
貨物自動車,,ダンプフルトレーラ,040
貨物自動車,,コンテナセミトレーラ,041
貨物自動車,,コンテナフルトレーラ,042
貨物自動車,,コンテナ専用車,043
貨物自動車,,コンテナ専用車（トラクタ）,150
貨物自動車,,脱着装置付コンテナ専用車,151
貨物自動車,,ダンプ（トラクタ）,152
貨物自動車,,荷台昇降車,044
貨物自動車,,セミトレーラ,045
大型特殊自動車,,ブルドーザ,061
大型特殊自動車,,ロード・ローラ,062
大型特殊自動車,,タイヤ・ローラ,063
大型特殊自動車,,ロード・スタビライザ,064
大型特殊自動車,,タイヤ・ドーザ,065
大型特殊自動車,,グレーダ,066
大型特殊自動車,,スクレーパ,067
大型特殊自動車,,ショベル・ローダ,068
大型特殊自動車,,ダンパ,069
大型特殊自動車,,モータ・スイーパ,070
大型特殊自動車,,フォーク・リフト,071
大型特殊自動車,,ホイール・クレーン,072
大型特殊自動車,,ストラドル・キャリヤ,073
大型特殊自動車,,アスファルト・フィニッシャ,074
大型特殊自動車,,ホイール・ハンマ,075
大型特殊自動車,,農耕トラクタ,076
大型特殊自動車,,ポール・トレーラ,077
大型特殊自動車,,ロータリ除雪自動車,078
大型特殊自動車,,ライン・マーカ,079
大型特殊自動車,,林内作業車,081
大型特殊自動車,,雪上車,082
大型特殊自動車,,ホイール・ブレーカ,083
大型特殊自動車,,フォーク・ローダ,084
大型特殊自動車,,農業用薬剤散布車,085
大型特殊自動車,,刈取脱穀作業車,086
大型特殊自動車,,ターレット式構内運搬自動車,087
大型特殊自動車,,田植機,088
大型特殊自動車,,ロード・ヒータ,089
大型特殊自動車,,ホイール・キャリヤ,090
大型特殊自動車,,クローラ運搬車,091
大型特殊自動車,,原野作業車,092
大型特殊自動車,,草刈作業車,093
大型特殊自動車,,農耕作業用トレーラ,094
特種用途自動車,専ら緊急の用に供するための自動車,救急車,520
特種用途自動車,専ら緊急の用に供するための自動車,救急車 二輪,120
特種用途自動車,専ら緊急の用に供するための自動車,消防車,523
特種用途自動車,専ら緊急の用に供するための自動車,消防車 三輪,323
特種用途自動車,専ら緊急の用に供するための自動車,消防車 二輪,123
特種用途自動車,専ら緊急の用に供するための自動車,警察車,522
特種用途自動車,専ら緊急の用に供するための自動車,警察車 三輪,322
特種用途自動車,専ら緊急の用に供するための自動車,警察車 二輪,122
特種用途自動車,専ら緊急の用に供するための自動車,臓器移植用緊急輸送車,270
特種用途自動車,専ら緊急の用に供するための自動車,保線作業車,524
特種用途自動車,専ら緊急の用に供するための自動車,検察庁車,525
特種用途自動車,専ら緊急の用に供するための自動車,緊急警備車,526
特種用途自動車,専ら緊急の用に供するための自動車,防衛省車,532
特種用途自動車,専ら緊急の用に供するための自動車,電波監視車,529
特種用途自動車,専ら緊急の用に供するための自動車,公共応急作業車,570
特種用途自動車,専ら緊急の用に供するための自動車,公共応急作業車 三輪,370
特種用途自動車,専ら緊急の用に供するための自動車,公共応急作業車 二輪,170
特種用途自動車,専ら緊急の用に供するための自動車,護送車,596
特種用途自動車,専ら緊急の用に供するための自動車,血液輸送車,502
特種用途自動車,専ら緊急の用に供するための自動車,交通事故調査用緊急車,530
特種用途自動車,専ら緊急の用に供するための自動車,ドリー付救急トレーラ,700
特種用途自動車,専ら緊急の用に供するための自動車,救急フルトレーラ,701
特種用途自動車,専ら緊急の用に供するための自動車,救急セミトレーラ,702
特種用途自動車,専ら緊急の用に供するための自動車,ドリー付消防トレーラ,703
特種用途自動車,専ら緊急の用に供するための自動車,消防フルトレーラ,704
特種用途自動車,専ら緊急の用に供するための自動車,消防セミトレーラ,705
特種用途自動車,専ら緊急の用に供するための自動車,ドリー付警察トレーラ,706
特種用途自動車,専ら緊急の用に供するための自動車,警察フルトレーラ,707
特種用途自動車,専ら緊急の用に供するための自動車,警察セミトレーラ,708
特種用途自動車,専ら緊急の用に供するための自動車,ドリ付臓器輸送用トレーラ,709
特種用途自動車,専ら緊急の用に供するための自動車,臓器輸送用フルトレーラ,710
特種用途自動車,専ら緊急の用に供するための自動車,臓器輸送用セミトレーラ,711
特種用途自動車,専ら緊急の用に供するための自動車,ドリー付保線作業トレーラ,712
特種用途自動車,専ら緊急の用に供するための自動車,保線作業フルトレーラ,713
特種用途自動車,専ら緊急の用に供するための自動車,保線作業セミトレーラ,714
特種用途自動車,専ら緊急の用に供するための自動車,ドリー付検察庁トレーラ,715
特種用途自動車,専ら緊急の用に供するための自動車,検察庁フルトレーラ,716
特種用途自動車,専ら緊急の用に供するための自動車,検察庁セミトレーラ,717
特種用途自動車,専ら緊急の用に供するための自動車,ドリー付緊急警備トレーラ,718
特種用途自動車,専ら緊急の用に供するための自動車,緊急警備フルトレーラ,719
特種用途自動車,専ら緊急の用に供するための自動車,緊急警備セミトレーラ,720
特種用途自動車,専ら緊急の用に供するための自動車,ドリー付防衛省トレーラ,721
特種用途自動車,専ら緊急の用に供するための自動車,防衛省フルトレーラ,722
特種用途自動車,専ら緊急の用に供するための自動車,防衛省セミトレーラ,723
特種用途自動車,専ら緊急の用に供するための自動車,ドリー付電波監視トレーラ,724
特種用途自動車,専ら緊急の用に供するための自動車,電波監視フルトレーラ,725
特種用途自動車,専ら緊急の用に供するための自動車,電波監視セミトレーラ,726
特種用途自動車,専ら緊急の用に供するための自動車,ドリ付公共応急作業トレーラ,727
特種用途自動車,専ら緊急の用に供するための自動車,公共応急作業フルトレーラ,728
特種用途自動車,専ら緊急の用に供するための自動車,公共応急作業セミトレーラ,729
特種用途自動車,専ら緊急の用に供するための自動車,ドリー付血液輸送トレーラ,730
特種用途自動車,専ら緊急の用に供するための自動車,血液輸送フルトレーラ,731
特種用途自動車,専ら緊急の用に供するための自動車,血液輸送セミトレーラ,732
特種用途自動車,専ら緊急の用に供するための自動車,ドリ付事故調査用トレーラ,733
特種用途自動車,専ら緊急の用に供するための自動車,事故調査用緊急フルトレーラ,734
特種用途自動車,専ら緊急の用に供するための自動車,事故調査用緊急セミトレーラ,735
特種用途自動車,法令等で特定される事業を遂行するための自動車,給水車,521
特種用途自動車,法令等で特定される事業を遂行するための自動車,給水車 三輪,321
特種用途自動車,法令等で特定される事業を遂行するための自動車,医療防疫車,500
特種用途自動車,法令等で特定される事業を遂行するための自動車,医療防疫車 三輪,300
特種用途自動車,法令等で特定される事業を遂行するための自動車,採血車,503
特種用途自動車,法令等で特定される事業を遂行するための自動車,軌道兼用車,595
特種用途自動車,法令等で特定される事業を遂行するための自動車,図書館車,597
特種用途自動車,法令等で特定される事業を遂行するための自動車,郵便車,598
特種用途自動車,法令等で特定される事業を遂行するための自動車,移動電話車,599
特種用途自動車,法令等で特定される事業を遂行するための自動車,路上試験車,601
特種用途自動車,法令等で特定される事業を遂行するための自動車,教習車,623
特種用途自動車,法令等で特定される事業を遂行するための自動車,霊柩車,621
特種用途自動車,法令等で特定される事業を遂行するための自動車,霊柩車 三輪,421
特種用途自動車,法令等で特定される事業を遂行するための自動車,広報車,650
特種用途自動車,法令等で特定される事業を遂行するための自動車,放送中継車,673
特種用途自動車,法令等で特定される事業を遂行するための自動車,理容・美容車,629
特種用途自動車,法令等で特定される事業を遂行するための自動車,ドリー付給水トレーラ,736
特種用途自動車,法令等で特定される事業を遂行するための自動車,給水フルトレーラ,737
特種用途自動車,法令等で特定される事業を遂行するための自動車,給水セミトレーラ,738
特種用途自動車,法令等で特定される事業を遂行するための自動車,ドリー付医療防疫トレーラ,739
特種用途自動車,法令等で特定される事業を遂行するための自動車,医療防疫フルトレーラ,740
特種用途自動車,法令等で特定される事業を遂行するための自動車,医療防疫セミトレーラ,741
特種用途自動車,法令等で特定される事業を遂行するための自動車,ドリー付採血トレーラ,742
特種用途自動車,法令等で特定される事業を遂行するための自動車,採血フルトレーラ,743
特種用途自動車,法令等で特定される事業を遂行するための自動車,採血セミトレーラ,744
特種用途自動車,法令等で特定される事業を遂行するための自動車,ドリー付図書館トレーラ,745
特種用途自動車,法令等で特定される事業を遂行するための自動車,図書館フルトレーラ,746
特種用途自動車,法令等で特定される事業を遂行するための自動車,図書館セミトレーラ,747
特種用途自動車,法令等で特定される事業を遂行するための自動車,ドリー付郵便トレーラ,748
特種用途自動車,法令等で特定される事業を遂行するための自動車,郵便フルトレーラ,749
特種用途自動車,法令等で特定される事業を遂行するための自動車,郵便セミトレーラ,750
特種用途自動車,法令等で特定される事業を遂行するための自動車,ドリー付移動電話トレーラ,751
特種用途自動車,法令等で特定される事業を遂行するための自動車,移動電話フルトレーラ,752
特種用途自動車,法令等で特定される事業を遂行するための自動車,移動電話セミトレーラ,753
特種用途自動車,法令等で特定される事業を遂行するための自動車,ドリー付霊柩トレーラ,754
特種用途自動車,法令等で特定される事業を遂行するための自動車,霊柩フルトレーラ,755
特種用途自動車,法令等で特定される事業を遂行するための自動車,霊柩セミトレーラ,756
特種用途自動車,法令等で特定される事業を遂行するための自動車,ドリー付広報トレーラ,757
特種用途自動車,法令等で特定される事業を遂行するための自動車,広報フルトレーラ,758
特種用途自動車,法令等で特定される事業を遂行するための自動車,広報セミトレーラ,759
特種用途自動車,法令等で特定される事業を遂行するための自動車,ドリー付放送中継トレーラ,760
特種用途自動車,法令等で特定される事業を遂行するための自動車,放送中継フルトレーラ,761
特種用途自動車,法令等で特定される事業を遂行するための自動車,放送中継セミトレーラ,762
特種用途自動車,法令等で特定される事業を遂行するための自動車,ドリー付理容・美容トレーラ,763
特種用途自動車,法令等で特定される事業を遂行するための自動車,理容・美容フルトレーラ,764
特種用途自動車,法令等で特定される事業を遂行するための自動車,理容・美容セミトレーラ,765
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,粉粒体運搬車,512
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,粉粒体運搬車（トラクタ）,290
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,粉粒体運搬セミトレーラ,517
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,粉粒体運搬フルトレーラ,518
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,タンク車,513
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,タンク車 三輪,313
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,タンクセミトレーラ,514
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,タンクフルトレーラ,515
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,ドリー付タンクトレーラ,519
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,現金輸送車,540
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,アスファルト運搬車,550
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,アスファルト運搬セミトレーラ,564
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,コンクリートミキサー車,555
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,コンクリトミキサセミトレラ,566
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,冷蔵冷凍車,632
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,冷蔵冷凍セミトレーラ,633
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,冷蔵冷凍フルトレーラ,634
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,ドリー付冷蔵冷凍トレーラ,635
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,冷蔵冷凍車（トラクタ）,636
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,活魚運搬車,637
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,保温車,638
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,販売車,620
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,販売車 三輪,420
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,散水車,640
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,散水車 三輪,440
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,塵芥車,641
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,塵芥車 三輪,441
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,糞尿車,643
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,糞尿車 三輪,443
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,ボートトレーラ,611
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,ボートトレーラ 二輪,211
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,オートバイトレーラ,213
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,スノーモービルトレーラ,214
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,ドリー付粉粒体運搬トレーラ,766
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,ドリー付現金輸送トレーラ,767
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,現金輸送フルトレーラ,768
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,現金輸送セミトレーラ,769
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,ドリ付アスファルトトレラ,770
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,アスファルト運搬フルトレラ,771
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,ドリ付コンクリミキサトレラ,772
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,コンクリトミキサフルトレラ,773
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,ドリー付活魚運搬トレーラ,774
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,活魚運搬フルトレーラ,775
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,活魚運搬セミトレーラ,776
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,ドリー付保温トレーラ,777
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,保温フルトレーラ,778
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,保温セミトレーラ,779
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,ドリー付販売トレーラ,780
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,販売フルトレーラ,781
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,販売セミトレーラ,782
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,ドリー付散水トレーラ,783
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,散水フルトレーラ,784
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,散水セミトレーラ,785
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,ドリー付塵芥トレーラ,786
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,塵芥フルトレーラ,787
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,塵芥セミトレーラ,788
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,ドリー付糞尿トレーラ,789
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,糞尿フルトレーラ,790
特種用途自動車,特種な物品を運搬するための特種な物品積載設備を有する自動車,糞尿セミトレーラ,791
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,消毒車,504
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,消毒車 三輪,304
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,寝具乾燥車,505
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,入浴車,508
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,ボイラー車,535
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,検査測定車,545
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,穴掘建柱車,551
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,ウインチ車,552
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,ウインチ車 三輪,352
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,クレーン車,553
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,クレーン車 三輪,353
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,くい打車,554
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,コンクリート作業車,556
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,コンベアー車,557
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,コンベア車 三輪,357
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,道路作業車,558
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,道路作業車 三輪,358
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,梯子車,559
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,ポンプ車,560
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,コンプレッサー車,561
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,コンプレッサー車 三輪,361
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,農業作業車,562
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,クレーン用台車,563
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,空港作業車,580
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,構内作業車,585
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,工作車,590
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,工作車 三輪,390
特種用途自動車,特種な作業を行うための特種な設備を有する自動車,工業作業車,592
